docker-cpu,docker-gpu,envd-v0-cpu,envd-v0-gpu,envd-v1-cpu,envd-v1-gpu
49.6786166,167.997942524,30.075305362999984,161.623470494,66.70077491300003,219.535349721
51.558260241,164.38760149700002,28.514266803999988,164.01614524599995,66.58286867599998,216.7520009640001
50.042038654,169.121782844,29.115438142000016,174.596761409,67.13342532900003,225.39769986500005
52.36587213200002,164.34531580600003,29.928796851000016,159.791085244,54.44429507799998,205.28126473499992
58.33731171799998,181.672224947,31.573452697,180.035425964,59.90875764400005,230.25088979
50.59224716399999,158.959175881,30.362563403000024,161.14005923300004,53.02358225900002,208.34840403600003
63.37938252399999,196.401709222,35.625403431999985,193.527037582,65.87370126500002,242.215372594
59.795942521,191.13462899900003,34.780016277000016,186.622718564,62.810939167000015,235.3041997400001
61.40635620200001,195.881714583,37.93449705299997,193.725576755,104.101948827,248.41784678399995
49.931458574,165.309240721,29.21175353000001,176.63931578299997,84.08682436899994,217.07344126100008
62.42574935199998,190.905701555,35.32284898500001,194.313396651,103.55237131,243.78492579600004
52.828043474,172.407897598,30.441704416,174.34426041800003,98.71906368500004,217.31563995
46.935404929999976,162.96965905199997,27.70656556,164.31962819100005,85.24948400000005,206.12377521400003
46.665029476,162.44209196999998,27.946343243,161.21964973100006,79.63514609499998,204.779679277
47.07782554899998,160.23340926800003,87.60940226700001,162.17006781900005,82.26045134399999,205.6537240309999
55.637413459000015,182.782177536,95.354603946,173.7364326400001,92.30712853900002,220.5038937310001
48.72517134500001,162.375241225,91.73854911,159.63710837799994,80.49634474699997,207.210480125
64.51182134099999,195.225644357,117.60011414000002,198.851315688,104.50673114699998,252.92423751000013
54.608163908,183.965691442,101.64310751099993,173.41188415399995,90.74476935999996,223.45516201500004
50.28159662200001,165.69862837500003,27.775694019000014,164.298250837,82.84094373799996,203.1521883449999
